timestamp,speed(m/s2),acc(m/s2),acc_slope(m/s2),pedal_cmd,pedal_fd
1655973746.3,2.56304932511,-3.04962846957,0.191848010622,-30.0,-30.0
1655973746.31,2.53315432284,-3.00655549992,0.1851862243,-30.0,-30.0
1655973746.32,2.50338692998,-2.99412675076,0.17889834625,-30.0,-30.0
1655973746.33,2.47342691907,-3.01814023629,0.172578914196,-30.0,-30.0
1655973746.34,2.44330129086,-3.03622003649,0.166864152158,-30.0,-30.0
1655973746.35,2.41343211008,-3.01107789048,0.161350279324,-30.0,-30.0
1655973746.36,2.3832255561,-3.04567902444,0.156147248768,-30.0,-30.0
1655973746.37,2.35299861338,-3.04811317496,0.151569868144,-30.0,-30.0
1655973746.38,2.3231026714,-3.01559964428,0.14761405256,-30.0,-30.0
1655973746.39,2.29389529312,-2.94711605904,0.144027830529,-30.0,-30.0
1655973746.4,2.26458170224,-2.95738698227,0.140997946852,-30.0,-30.0
1655973746.41,2.23537413067,-2.94637701479,0.138463669337,-30.0,-30.0
1655973746.42,2.20643899692,-2.91964316897,0.136444941036,-30.0,-30.0
1655973746.43,2.17709972377,-2.95928843566,0.134980033992,-30.0,-30.0
1655973746.44,2.14772646834,-2.96185663097,0.134358889865,-30.0,-30.0
1655973746.45,2.11808249407,-2.98853436375,0.133989214726,-30.0,-30.0
1655973746.46,2.08860335661,-2.9705051198,0.134296761971,-30.0,-30.0
1655973746.48,2.02951157873,-2.95419285378,0.13687267464,-30.0,-30.0
1655973746.49,1.99996883406,-2.97256661687,0.138717743379,-30.0,-30.0
1655973746.5,1.97042152844,-2.97283425139,0.14100145435,-30.0,-30.0
1655973746.51,1.94113957842,-2.94276533783,0.143826580177,-30.0,-30.0
1655973746.52,1.91150529705,-2.9782861768,0.147014220818,-30.0,-30.0
1655973746.53,1.88199440383,-2.96436908157,0.150500799198,-30.0,-30.0
1655973746.54,1.85257696504,-2.95139511267,0.154159812132,-30.0,-30.0
1655973746.55,1.8229390767,-2.97252741593,0.158289378635,-30.0,-30.0
1655973746.56,1.79300283578,-2.99923352074,0.162595755341,-30.0,-30.0
1655973746.57,1.76360761238,-2.94464283254,0.167102185599,-30.0,-30.0
1655973746.58,1.7343126911,-2.93158411752,0.17159813807,-30.0,-30.0
1655973746.59,1.70458579007,-2.97266877331,0.176320046256,-30.0,-30.0
1655973746.6,1.67538560038,-2.9167237344,0.180795646083,-30.0,-30.0
1655973746.61,1.64578529894,-2.95473446365,0.185512919196,-30.0,-30.0
1655973746.62,1.61599636767,-2.9720828171,0.190054919692,-30.0,-30.0
1655973746.63,1.58630423846,-2.96025749329,0.194497490399,-30.0,-30.0
1655973746.64,1.55619592421,-2.99971071219,0.198546858377,-30.0,-30.0
1655973746.65,1.52603079728,-3.00366899244,0.202441095384,-30.0,-30.0
1655973746.66,1.49540276335,-3.04856799831,0.206137966951,-30.0,-30.0
1655973746.67,1.46497937241,-3.02748748715,0.20941164502,-30.0,-30.0
1655973746.68,1.43447034877,-3.03315565609,0.212584382835,-30.0,-30.0
1655973746.69,1.40370432454,-3.05852076123,0.215400462392,-30.0,-30.0
1655973746.7,1.37307537518,-3.04361623102,0.217882375587,-30.0,-30.0
1655973746.71,1.34269884812,-3.01790307914,0.219791912485,-30.0,-30.0
1655973746.72,1.31210283556,-3.03907179765,0.221326034992,-30.0,-30.0
1655973746.73,1.28180039482,-3.00983819571,0.222509223472,-30.0,-30.0
1655973746.74,1.25166113778,-2.9937497047,0.222935934881,-30.0,-30.0
1655973746.75,1.22128606193,-3.01951802562,0.223095589058,-30.0,-30.0
1655973746.76,1.19141960591,-2.96977055131,0.222811816375,-30.0,-30.0
1655973746.77,1.16139909461,-2.9855231751,0.222378766333,-30.0,-30.0
1655973746.79,1.10000652181,-2.95505423503,0.219533681757,-30.0,-30.0
1655973746.8,1.07019163243,-2.97201858554,0.217774748984,-30.0,-30.0
1655973746.81,1.04067994325,-2.94436190999,0.21614027738,-30.0,-30.0
1655973746.82,1.01106855632,-2.95502964541,0.21422325894,-30.0,-30.0
1655973746.83,0.981808181568,-2.9222494254,0.211739537687,-30.0,-30.0
1655973746.84,0.952859132519,-2.89254821628,0.209498404449,-30.0,-30.0
1655973746.85,0.923716468705,-2.91293663808,0.207159424257,-30.0,-30.0
1655973746.86,0.89443577051,-2.92953062783,0.204492624284,-30.0,-30.0
1655973746.87,0.865523943104,-2.89417595902,0.20210512735,-30.0,-30.0
1655973746.88,0.836592724093,-2.89777032404,0.19941351715,-30.0,-30.0
1655973746.89,0.807349658209,-2.9299510713,0.196873880576,-30.0,-30.0
1655973746.9,0.778062920578,-2.93494883103,0.194475933331,-30.0,-30.0
1655973746.91,0.749124400818,-2.90250085789,0.191929421326,-30.0,-30.0
1655973746.92,0.720229651333,-2.89876786661,0.189372381155,-30.0,-30.0
1655973746.93,0.690961250355,-2.93660298372,0.187205151565,-30.0,-30.0
1655973746.94,0.661555572382,-2.95171300077,0.184939615479,-30.0,-30.0
1655973746.95,0.63235055038,-2.93305316647,0.182537781778,-30.0,-30.0
1655973746.96,0.603303486683,-2.91817695248,0.180744090327,-30.0,-30.0
1655973746.97,0.573926054533,-2.95221756305,0.179160160536,-30.0,-30.0
1655973746.98,0.544233248454,-2.985298835,0.177776572011,-30.0,-30.0
1655973746.99,0.514906649481,-2.95020265267,0.176533257449,-30.0,-30.0
1655973747.0,0.486357531616,-2.87348716496,0.175536389294,-30.0,-30.0
1655973747.01,0.457791814991,-2.87653771216,0.174505154499,-30.0,-30.0
1655973747.02,0.429121411146,-2.88826093767,0.174403577797,-30.0,-30.0
1655973747.03,0.399997100677,-2.93847986631,0.173948831428,-30.0,-30.0
1655973747.04,0.370334047951,-2.99601052534,0.173881581805,-30.0,-30.0
1655973747.05,0.340200064041,-3.04451752446,0.173871132639,-30.0,-30.0
1655973747.06,0.309947535598,-3.0599414719,0.174434205708,-30.0,-30.0
1655973747.08,0.250357765351,-3.00559618489,0.176032600716,-30.0,-30.0
1655973747.09,0.220982839583,-2.98395965858,0.177248122701,-30.0,-30.0
1655973747.1,0.1865588997,-2.98758927482,0.176857839828,-30.0,-30.0
1655973747.11,0.157153934373,-2.99561638125,0.177740323699,-30.0,-30.0
1655973747.12,0.127594094832,-3.02986323034,0.179471474797,-30.0,-30.0
1655973747.13,0.097971235395,-3.06806112096,0.180934927062,-30.0,-30.0
